	random	noun/verb	location	#1 String	#2 String	label
6804	give	V	0-3	give thought to	The roof finally gave under the weight of the ice	F
6806	throw	V	0-1	throw a frisbee	Jane threw dinner together	F
6807	pass	N	3-11	he had a pass for three days	it was not possible to complete the computation in a single pass	F
6808	land	V	2-5	this may land you in jail	It can be tricky to land a helicopter .	T
6809	setting	N	8-2	you ca n't do that in a university setting	the perfect setting for a ghost story	F
6810	area	N	8-7	The photo is a little dark in that area .	it was about 500 square feet in area	T
6811	person	N	6-1	there was too much for one person to do	Each person is unique , both mentally and physically .	T
6812	choice	N	1-7	your choice of colors was unfortunate	The ice cream sundae is a popular choice for dessert .	T
6813	see	V	8-1	You have to be a good observer to see all the details	I saw him laughing .	T
6814	field	N	6-8	He needs some time in the field before his judgment can be trusted .	This racehorse is the strongest in a weak field .	F
6815	window	N	1-2	Launch window ; window of opportunity	the expanded window will give us time to catch the thieves	T
6817	cut	V	1-2	She cut the deck for a long time	If you cut then I 'll deal .	T
6818	wall	N	1-1	a wall of prejudice	a wall of water	T
6819	take	V	2-11	Do you take me for a fool ?	Looking at him as he came into the room , I took him for his father .	T
6822	come	V	1-0	Melons come from a vine	Come with me to the Casbah	F
6823	cut	V	0-1	cut a nice figure	soap cuts grease	F
6824	see	V	2-4	I 'll see you to the door	What message do you see in this letter ?	F
6825	run	V	3-2	The sale will run for ten days .	The book runs 655 pages .	T
6826	take	V	0-2	take the gun from your pocket	She always takes an umbrella	F
6827	complexion	N	2-3	A rugged complexion ;    a sunburnt complexion	a liberal political complexion	F
6828	catch	V	3-2	I have to catch a train at 7 o'clock	do n't catch your meaning	F
6829	day	N	2-2	in the day of the dinosaurs	in the days of sailing ships	T
6830	drop	N	4-2	there is not a drop of pity in that man	Put three drops of oil into the mixture .	T
6832	fall	V	0-2	fall asleep	Many soldiers fell at Verdun	F
6833	left	N	2-3	The political left is not holding enough power .	jab with your left	F
6835	carry	V	0-2	carry scars	His efforts carried the entire project	F
6836	scrub	V	3-3	we had to scrub our vacation plans	Engineers had to scrub the satellite launch due to bad weather .	T
6837	check	V	0-8	check the brakes	Katie 's sick , so I need to check up on her and see if she needs anything .	T
6838	begin	V	4-2	You can not even begin to understand the problem we had to deal with during the war	The semester begins with a convocation ceremony	F
6839	fall	V	1-1	payments fall on the 1st of the month	Grief fell from our hearts	F
6840	judge	V	1-1	The judge tried both father and son in separate trials	The judge pronounced often before , but never so widely press - attended .	F
6841	effect	N	5-6	the law is still in effect	The new law will come into effect on the first day of next year .	T
6842	condition	N	2-2	a heart condition	a skin condition	T
6843	language	N	3-12	The gift of language	the speed with which a program can be executed depends on the language in which it is written	T
6844	purchase	V	1-5	To purchase land , to purchase a house	$ 50 wo n't even purchase a dress .	T
6845	shift	V	0-0	shift the date for our class reunion	Shift one 's position	F
6846	wall	N	1-5	a wall of smoke	negotiations ran into a brick wall	T
6847	make	V	0-0	make a wall of stones	make a cake	T
6848	danger	N	4-3	you are in no danger	there was widespread danger of disease	T
6849	voice	N	3-2	the wee small voice of conscience	the incessant voices of the artillery	F
6851	wear	V	0-2	wear one 's hair in a certain way	He always wears a smile	F
6852	wildness	N	3-7	the element of wildness in his behavior was a protest against repressive convention	Liza had always had a tendency to wildness	T
6853	face	N	4-4	They climbed the north face of the mountain .	dew dripped from the face of the leaf	T
6854	play	V	0-0	play it safe	play safe	T
6855	cut	V	4-0	The employer wants to cut back health benefits	Cut the engines when the plane comes to a halt !	F
6856	orbit	N	5-3	he 's out of my orbit	in the political orbit of a world power	F
6858	session	N	2-2	a gossip session	a filming session	T
6859	crunch	N	2-7	a financial crunch	an end - of - the year crunch	T
6860	break	V	0-1	break a lucky streak	who broke into my account last night ?	F
6861	life	N	5-1	the oceans are teeming with life	social life	F
6863	take	V	0-1	take an opportunity	We took our seats in the orchestra	F
6864	carry	V	2-0	You must carry your camping gear	carry the suitcases to the car	T
6866	feeling	N	5-3	The house gave me a feeling of dread .	he had terrible feelings of guilt	T
6867	head	N	3-9	he stuck his head out the window	Be careful when you pet that dog on the head ; it may bite .	T
6868	make	V	0-1	make a move	They make a cute couple	F
6869	double	N	8-3	his first job in Hollywood was as a double for Clark Gable	he hit a double to deep centerfield	F
6871	bid	N	1-1	A bid for a lucrative transport contract	His bid was $ 35,000 .	T
6873	run	V	3-2	The sale will run for ten days .	The meeting ran late .	T
6874	strike	V	0-0	strike a bargain	strike fire from the flintstone	F
6875	narrowness	N	7-8	the problem with achievement tests is the narrowness they impose on students	the attraction of the book is precisely its narrowness of focus	T
6876	hold	V	0-2	hold these truths to be self - evident	I 'll hold you by your promise	F
6878	connect	V	2-4	Can you connect the two loudspeakers ?	The new railroad will connect the northern part of the state to the southern part .	T
6879	take	V	1-5	I take it you 're not going ?	I estimate the trip will take about ten minutes .	F
6880	language	N	4-2	he recorded the spoken language of the streets	The English language ;    sign language	T
6882	keep	V	9-3	Our grant has run out and we can not keep you on	The student was kept after school	F
6884	hit	V	2-2	The ball hit the fence .	The movie hits theaters in December .	F
6885	motion	N	3-3	police controlled the motion of the crowd	he made a motion to adjourn	F
6886	make	V	0-2	make a cake	He will make a fine father	F
6887	work	V	4-2	How does your idea work in practice ?	His fingers worked with tension	F
6889	touch	N	2-3	the cooling touch of the night air	there was a touch of sarcasm in his tone	F
6890	rest	N	5-4	The ocean was finally at rest .	The boulder came to rest just behind the house after rolling down the mountain .	T
6893	foulness	N	3-3	he understood the foulness of sin	his display of foulness deserved severe punishment	T
6894	make	V	0-2	make a mess in one 's office	She 'll make a fine president .	F
6895	hold	V	1-2	To hold true ;    to hold good	He 's held by a contract	F
6896	answer	V	4-1	A few words would answer	She answered the door .	F
6897	work	N	7-11	a lot of people are out of work	He has n't come home yet , he 's still at work .	T
6899	text	N	8-5	there were more than a thousand words of text	they handed out the printed text of the mayor 's speech	T
6903	nationality	N	4-6	immigrants of the same nationality often seek each other out	such images define their sense of nationality	T
6906	check	V	4-1	These stories do n't check !	She checked for an instant and missed a step	F
6907	stuff	N	5-5	you do n't have the stuff to be a United States Marine	the trunk was full of stuff	F
6908	thrust	V	1-11	She thrust the letter into his hand	The front of the trains that had collided head - on thrust up into the air	F
6909	dogma	N	2-5	The unforgiving dogma of Stalinism is that what the party leader , however cruel and incompetent , decrees , however absurd , must be accepted as law .	he believed all the Marxist dogma	T
6910	define	V	3-4	The camera could define the smallest object	The tree was clearly defined by the light	T
6911	open	V	2-0	Vermont will open elk hunting season next week .	open a business	T
6912	reason	N	1-2	the reason that war was declared	there is reason to believe he is lying	F
6913	take	V	0-2	take vengeance	Do you take sugar in your coffee ?	F
6914	spread	V	3-1	The missionaries quickly spread their new message across the country .	He spread fertilizer over the lawn	F
6915	spring	N	6-3	he will hold office until the spring of next year	I spent my spring holidays in Morocco .	T
6916	go	V	6-4	Do you think the sofa will go through the door ?     The belt just barely went around his waist .	The speech has to go through several more drafts	F
6917	space	N	5-3	it all happened in the space of 10 minutes	the architect left space in front of the building	F
6918	fatigue	N	5-6	he was suffering from museum fatigue	the American public is experiencing scandal fatigue	T
6919	throw	V	6-2	Throw a shoe ;     throw a javelin ;     the horse threw its rider	have , throw , or make a party	F
6920	reduce	V	0-0	reduce an image	reduce one 's standard of living	F
6921	cut	V	2-0	The coach cut two players from the team	cut the engine	F
6924	tell	V	1-1	I tell you that man is a crook !	Please tell me how to do it .	T
6925	marriage	N	4-3	a long and happy marriage	You should enter marriage for love .	T
6926	fall	V	0-0	fall prey to an imposter	Fall in love	T
6927	line	N	1-2	the line stretched clear around the corner	A dedicated line	F
6928	melt	V	13-0	When the weather is warm , the snowman will disappear ; he will melt .	melt butter	T
6930	charge	V	0-2	charge a conductor	The speaker charged up the crowd with his inflammatory remarks	F
6931	tell	V	2-2	Can you tell whether those flowers are real or silk , from this distance ?     No , there 's no way to tell .	He could tell that she was unhappy	T
6932	click	V	2-0	Xhosa speakers click	Click ! The door opened .	F
6933	take	V	3-3	I do n't take sugar in my coffee	The test grader takes off a point for every misspelled word .	F
6934	estimate	N	1-6	an estimate of what it would cost	many factors are involved in any estimate of human life	F
6935	pledge	N	4-2	his saxophone was in pledge	signed a pledge never to reveal the secret	F
6936	notice	N	2-6	an obituary notice	you did n't give me enough notice	T
6937	quality	N	1-11	the quality of students has risen	This school is well - known for having teachers of high quality .	T
6938	see	V	2-3	I can see what will happen	I ca n't see him on horseback !	T
6939	implement	V	0-14	implement a procedure	It 's a good thought , but it will be a difficult thing to implement .	F
6940	breath	N	4-6	he took a deep breath and dived into the pool	he was fighting to his last breath	T
6941	run	V	0-2	run through your presentation before the meeting	The children ran to the store	F
6942	third	N	13-2	he answered the first question willingly , the second reluctantly , and the third with resentment	a distant third	T
6943	save	V	2-2	Let 's save the packaging in case we need to send the product back .	This will save money	F
6945	pack	V	1-0	To pack goods in a box ;    to pack fish	pack the books into the boxes	T
6946	go	V	4-5	Where do these books go ?	It 's your turn ; go .	F
6947	capture	V	0-1	capture the essence of Spring	She captured all the men 's hearts	F
6948	turn	V	0-0	turn the legs of the table	turn a somersault	F
6949	break	V	2-2	Can you break a hundred - dollar bill for me ?	The surf broke	F
6951	summit	N	10-9	In summer , it is possible to hike to the summit of Mt. Shasta .	the region is a few molecules wide at the summit	T
6953	conflict	N	1-3	The conflict between the government and the rebels began three years ago .	"the harder the conflict the more glorious the triumph ""-- Thomas Paine"	T
6954	come	V	1-1	Melons come from a vine	News came in of the massacre in Rwanda	F
6956	burn	V	0-2	burn garbage	The car burns only Diesel oil	T
6957	house	N	3-9	he has a house on Cape Cod	she felt she had to get out of the house	T
6958	line	N	5-2	I ca n't follow your line of reasoning	toe the line	F
6959	circulation	N	4-1	a fan aids air circulation	ocean circulation is an important part of global climate	T
6961	know	V	1-3	I know the feeling !	have you ever known hunger ?	T
6962	head	N	5-2	his horse won by a head	under the head of minor Roman poets	F
6963	seat	N	1-1	The seat of these trousers is almost worn through .	the seat of his pants was worn through	T
6964	love	N	3-5	it was 40 love	So that 's fifteen - love to Kournikova .	T
6965	land	V	4-5	Use the net to land the fish .	It can be tricky to land a helicopter .	T
6967	carry	V	0-1	carry the suitcases to the car	Amanda carried the package .	T
6968	charge	N	5-1	he was arrested on a charge of larceny	the charges against the estate	F
6969	third	N	13-3	he answered the first question willingly , the second reluctantly , and the third with resentment	Jones came in third .	T
6970	traffic	N	0-1	traffic on the internet is lightest during the night	heavy traffic overloaded the trunk lines	T
6972	work	V	4-3	She knows how to work the system .	The soft metal works well	F
6973	care	V	3-3	I do n't care what he does .	He does n't care about how / whether she comes .	T
6974	play	V	0-5	play fair	Play football ;    play sports ;    play games	F
6975	break	V	0-2	break into tears	The blade broke her skin	F
6979	cut	V	5-0	Cut orders ;    cut a check	cut a ticket	T
6980	head	N	9-3	Be careful when you pet that dog on the head ; it may bite .	he stuck his head out the window	T
6981	resistance	N	6-8	he encountered a general feeling of resistance from many citizens	these trees are widely planted because of their resistance to salt and smog	F
6982	run	V	2-4	I will run the sample .	Our coach had us running plays for the whole practice .	T
6983	point	N	4-6	she walked to a point where she could survey the whole street	he held me up at the point of a gun	F
6984	furniture	N	3-4	A chair is furniture . Sofas are also furniture .	they had too much furniture for the small apartment	T
6985	voice	N	1-2	the voice of the law	the noisy voice of the waterfall	F
6986	backup	N	12-3	After the power failure , we had to restore the database from backup .	he made a backup in case the original was accidentally damaged or erased	T
6987	law	N	1-5	By law , one is not allowed to own a wallaby in New York City .	civilization presupposes respect for the law	T
6988	classify	V	2-1	"Should we classify "" make up "" as an idiom or as a phrasal verb ?"	She classified the articles into different genres .	T
6989	break	N	1-3	the break seems to have been caused by a fall	there was a break in the action when a player was hurt	F
6991	have	V	0-1	have a lover	We had a hard year last year , with the locust swarms and all that .	F
6992	strength	N	3-6	He had the strength of ten men .	they measured the station 's signal strength	T
6993	close	V	7-2	The owners decided to move and to close the factory	My business closes every night at 8 P.M.	T
6994	wave	V	5-1	she asked the hairdresser to wave her hair	She waved her gun	F
6996	company	N	7-5	Keep the house clean ; I have company coming .	the house was filled with company when I arrived	T
6997	statement	N	4-4	a Cadillac makes a statement about who you are	his tantrums are a statement of his need for attention	T
6998	shoot	V	0-7	shoot a goal	In my round of golf yesterday I shot a 76 .	T
6999	post	N	2-3	Sent via post ; parcel post	he occupied a post in the treasury	T
7000	drive	V	0-1	drive the forest	We drove to the university every morning	F
7002	stock	N	4-1	they will cut round stock to 1-inch diameter	his stock was so high he could have been elected mayor	F
7003	unravel	V	2-3	can you unravel the mystery ?	Mother could n't unravel the ball of wool after the cat had played with it .	T
7004	optimization	N	3-2	to promote the optimization and diversification of agricultural products	the simultaneous optimization of growth and profitability	T
7005	remember	V	0-1	remember me in your prayers	He remembered her in his will	F
7006	deal	N	6-5	I did n't have a good deal all evening .	I believe it 's your deal .	T
7008	extension	N	1-0	good extension comes from a combination of training and native ability	extension of the program to all in need	F
7009	mean	V	1-1	I mean no harm	Happiness means everything	F
7010	stiff	N	2-2	a working stiff	a lucky stiff	T
7011	carry	V	4-1	I resent having to carry her all the time	We carry a very large mortgage	F
7012	day	N	7-2	he was a successful pianist in his day	in the days of the Roman Empire	T
7013	look	N	6-4	he went out to have a look	his camera does his looking for him	T
7014	play	V	3-0	Charlie likes to play Mary	play water from a hose	F
7015	make	V	0-1	make enemies	She made 29 points that day	F
7016	raise	V	0-0	raise the price of bread	raise your ` o '	F
7017	catch	V	2-2	did you catch a cold ?	If he catches you on the chin , you 'll be on the mat .	F
7019	expression	N	1-17	Her expression changed from joy to misery after realising her winning lottery ticket had expired .	The best poker players can tell if the opponents have a good hand by looking at their expression .	T
7020	bolt	V	2-6	Do n't bolt your food !	Seeing the snake , the horse bolted .	F
7021	move	V	1-2	To move in a matter	The soldiers moved towards the city in an attempt to take it before night fell	F
7024	view	N	6-7	he tried to get a better view of it	He changed seat to get a complete view of the stage .	T
7025	pay	V	0-1	pay a visit	He paid off the loan three months early .	F
7026	draw	V	7-0	A ship 's sail is said to draw when it is filled with wind .	draw a wagon	T
7027	chain	N	1-6	A chain of mountains	The third link of the silver chain needs to be resoldered .	T
7028	degree	N	3-3	he earned his degree at Princeton summa cum laude	there are 360 degrees in a circle	F
7029	action	N	2-2	recent federal action undermined the segregationist position	the Union action of emancipating Southern slaves	T
7030	beat	V	0-2	beat one 's breast	This sure beats work !	F
7031	number	N	1-3	the number of parameters is small	he had a number of chores to do	T
7033	work	V	4-2	She knows how to work the system	The wine worked	F
7034	fall	V	0-2	fall prey to an imposter	Her hair fell across her forehead	F
7035	scale	N	1-6	the scale of the map	There are some who question the scale of our ambitions .	T
7036	boy	N	3-4	she made the boy brush his teeth every night	the baby was a boy	T
7037	write	V	1-4	Please write to me every week	Your son has been writing on the wall .	F
7038	talk	N	3-4	there has been talk about you lately	I attended an interesting talk on local history	F
7039	land	N	5-11	They come from a faraway land .	the plane turned away from the sea and moved back over land	T
7040	lifesaving	N	7-5	I 'm normally a big fan of lifesaving , but in his case we can make an exception .	he took a course in lifesaving	T
7041	make	V	0-0	make the bed	make up a room	T
7042	deal	N	1-9	a deal of trouble	he rose to prominence through a series of shady deals	F
7043	make	V	3-0	She may not make the grade	make clay into bricks	F
7045	cup	N	7-3	he swore as the ball rimmed the cup and rolled away	he drank a cup of coffee	F
7046	light	N	8-10	I 'm really seeing you in a different light today .	Magoon 's governorship in Cuba was viewed in a negative light by many Cuban historians for years thereafter .	T
7049	miracle	N	4-6	An example of a miracle associated with Muhammad is the splitting of the moon .	Many religious beliefs are based on miracles .	T
7050	work	V	0-5	work your way through every problem or task	Start from the bottom and work towards the top	T
7052	be	V	4-2	When will the meeting be ?	I have been to Spain many times .	T
7053	line	N	4-4	the cast stood in line for the curtain call	they were arrayed in line of battle	T
7054	gather	V	1-1	I gather you have not done your homework	I gather from Aunty May that you had a good day at the match .	T
7055	grace	N	5-3	it was debated whether saving grace could be obtained outside the membership of the church	the victor 's grace in treating the vanquished	F
7057	didacticism	N	1-1	the didacticism expected in books for the young	the didacticism of the 19th century gave birth to many great museums	T
7058	enemy	N	1-5	the enemy attacked at dawn	Rally together against a common enemy .	T
7059	bear	V	0-0	bear a heavy load	bear a resemblance	F
7060	neighborhood	N	4-1	it is a friendly neighborhood	my neighborhood voted for Bush	T
7061	tab	N	2-4	pull the tab to open the can	the collar has a tab with a button hole	T
7062	treat	V	4-1	She was tempted to treat the whole affair as a joke .	I treated his advances as a joke	T
7063	take	V	3-3	You ca n't take credit for this !	How should I take this message ?	T
7064	draw	V	0-4	draw a weapon	The President 's comments drew sharp criticism from the Republicans	F
7065	cost	N	2-1	The average cost of a new house is twice as much as t was 20 years ago .	the cost in human life was enormous	F
7067	touch	N	5-9	this piano has a wonderful touch	Suddenly , in the crowd , I felt a touch at my shoulder .	F
7068	make	V	0-0	make water into wine	make clay into bricks	T
7069	act	V	3-3	think before you act	The governor should act on the new energy bill	T
7070	difference	N	5-6	his support made a real difference	It just wo n't make much difference to me .	T
7071	travel	N	1-7	Space travel	he enjoyed selling but he hated the travel	T
7073	drill	V	2-0	do n't drill here , there 's a gas pipe	drill for oil	T
7074	movement	N	7-2	he was a charter member of the movement	The labor movement has been struggling in America since the passage of the Taft - Hartley act in 1947 .	T
7075	osculate	V	3-2	these two surfaces osculate	one curve osculates the other	T
7077	credit	N	3-3	I give you credit for owning up to your mistake .	he was given credit for his work	T
7079	confidence	N	0-6	confidence is always borrowed , never owned	after that failure he lost his confidence	F
7080	pass	N	2-4	A mountain pass	we got through the pass before it started to snow	T
7081	business	N	3-5	a racially integrated business concern	he bought his brother 's business	T
7082	field	N	3-7	he planted a field of wheat	There were some cows grazing in a field .	T
7083	translate	V	2-5	Can you translate the instructions in this manual for a layman ?	Is there a need to translate the psychiatrist 's remarks ?	T
7086	appointment	N	4-1	He erred by the appointment of unsuitable men .	the appointment had to be approved by the whole committee	T
7087	work	V	2-0	Can you work an electric drill ?	Work the metal into a sword	F
7089	raise	V	0-0	raise an army	raise your ` o '	F
7090	work	V	4-7	He used pliers to work the wire into shape .	this unpleasant situation is n't going to work itself out	F
7091	give	V	0-1	give a yelp	I gave him a punch in the nose	F
7092	carry	V	2-2	These pipes carry waste water into the river	This paper carries a restaurant review	F
7093	grate	V	0-1	grate one 's teeth in anger	To grate a window	F
7094	work	V	3-0	He could not work the math problem	work one 's way through the crowd	F
7095	draw	V	0-2	draw a weapon	A ship draws ten feet of water .	F
7097	lead	N	3-5	he takes the lead in any group	they did n't follow our lead	T
7098	certainty	N	4-1	his victory is a certainty	his certainty reassured the others	F
7099	turn	V	4-18	the strong man could turn an iron bar	The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .	F
7100	be	V	2-2	I shall be writing to you soon .	This building is three hundred years old .	T
7102	sanitize	V	0-0	sanitize the language in a book	sanitize a document before releasing it to the press	T
7104	one	N	3-6	this is the one I ordered	 driver  , noun : one who drives .	T
7105	bank	N	3-2	he operated a bank of switches	a huge bank of earth	F
7106	light	N	4-7	he stepped into the light	they played as long as it was light	F
7107	form	N	4-7	the team was off form last night	he was at the top of his form	T
7108	building	N	6-6	there was a three - story building on the corner	My sister lives in that apartment building .	T
7109	train	N	4-3	they joined the wagon train for safety	the bride 's train was carried by her two young nephews	F
7110	keep	V	2-0	Can I keep my old stuffed animals ?	Keep smiling	F
7111	make	V	0-0	make a stir	make laws	F
7113	turn	V	0-0	turn the dial to 10	turn your dance partner around	F
7114	luck	N	1-2	the luck of the Irish	they say luck is a lady	F
7115	life	N	6-9	She 's my love , my life .	he could no longer cope with the complexities of life	F
7116	step	V	3-0	he wo n't step into his father 's footsteps	step over to the blackboard	F
7117	shot	N	3-6	he wanted a shot at the champion	I caught him with a solid shot to the chin	F
7118	catch	V	2-1	Did you catch the thief ?	he caught her staring out the window	F
7119	air	N	7-7	open a window and let in some air	as he waited he could feel the air on his neck	F
7120	hang	V	0-0	hang a door	hang the venison for a few days	F
7121	grain	N	1-1	A grain of sand	A grain of salt	T
7122	save	V	2-2	This will save you a lot of time	I 'll save you the trouble	T
7123	head	N	5-7	tickets are $ 5 per head	We will consider performance issues under the head of future improvements .	F
7124	pull	V	0-1	pull weeds	He pulled out his gun before she had a chance to scream .	T
7125	block	V	5-0	The offensive linemen tried to block the blitz .	block an attack	T
7126	make	V	3-0	What do you make of his remarks ?	make an estimate	T
7128	travel	N	7-0	he enjoyed selling but he hated the travel	Travel to Spain	T
7129	believe	V	4-1	Why did I ever believe you ?	She believes in spirits	T
7131	fall	V	4-2	The hills around here fall towards the ocean	her weight fell to under a hundred pounds	F
7132	raise	V	0-0	raise the question of promotions	raise the price of bread	F
7134	go	V	2-2	We should go farther in this matter	His money went on drink .	F
7135	carry	V	9-2	She always carries a purse ;    marsupials carry their young in a pouch	The motion carried easily	F
7137	make	V	3-0	She may not make the grade	make water into wine	F
7138	receptiveness	N	1-6	this receptiveness is the key feature in oestral behavior , enabling natural mating to occur	he was testing the government 's receptiveness to reform	T
7139	hold	V	0-1	hold in place	I hold with those who say life is sacred	F
7140	view	V	0-0	view a show on television	view an exhibition	T
7142	turn	V	0-1	turn the corner	We turned from Socialism to Capitalism	F
7143	bake	V	0-1	bake the potatoes	Potatoes bake to a crisp .	T
7144	texture	N	6-4	fish with a delicate flavor and texture	breadfruit has the same texture as bread	T
7146	unit	N	6-4	the dollar is the United States unit of currency	The centimetre is a unit of length .	T
7147	personification	N	3-5	she is the personification of optimism	The Grim Reaper is a personification of death .	T
7148	interest	N	4-3	Victorian furniture is an interest of mine .	in the common interest	F
7149	head	N	6-1	A reduction in the assessment per head of sheep	200 head of cattle and 50 head of horses	T
7150	mouth	N	4-5	he rode into the mouth of the canyon	she wiped lipstick from her mouth	F
7151	play	N	3-6	they gave full play to the artist 's talent	We saw a two - act play in the theatre .	F
7152	carry	V	1-1	To carry well , i.e. to hold the head high , with arching neck	He carried himself upright	T
7153	take	V	2-0	Do you take sugar in your coffee ?	Take a cookie !	F
7155	cut	V	6-0	The glass from the shattered windshield cut into her forehead	cut class	F
7156	slot	N	7-6	the TV program has a new time slot	he put a quarter in the slot	F
7157	represent	V	3-2	Ms. Smith will represent the defendant	our parents represented to us the need for more caution	F
7158	work	V	4-5	This dough does not work easily ;    the soft metal works well	Start from the bottom and work towards the top	F
7160	right	N	6-4	The pharmacy is just on the right past the bookshop .	he stood on the right	T
7161	see	V	2-1	Can you see the bird in that tree ?	I saw her bake the cake .	T
7162	feel	V	1-1	I feel that we need to try harder .	I felt my way cautiously through the dangerous business maneuver .	F
7163	fall	V	0-6	fall into a strange way of thinking	Her hand went up and then fell again	F
7165	know	V	1-1	We know this movie	I know him under a different name	T
7167	size	N	3-8	that 's the size of the situation	she hates me , that 's about the size of it	T
7170	cut	V	2-3	The sweat cut little rivulets into her face	she could not cut the long days in the office	F
7171	drag	N	4-7	peeling potatoes is a drag	he went to the party dressed in drag	F
7173	now	N	5-0	it worked up to right now	Now is a good time to do it	T
7174	spring	N	6-8	You can visit me in the spring , when the weather is bearable .	the emerging buds were a sure sign of spring	T
7175	ground	V	0-2	ground the electrical connections for safety reasons	the storm grounded the ship	F
7176	club	V	1-3	To club exertions	The two men clubbed together	T
7177	carry	V	4-1	This boat can only carry a small sail	Amanda carried the package to New York .	F
7179	make	V	0-1	make laws	She made ten points in that game .	F
7180	shell	V	0-0	shell mussels	shell the legumes	T
7181	strike	V	0-3	strike ` z ' on the keyboard	The horse finally struck a pace	F
7182	fall	V	0-3	fall into a trap	The barometer is falling	F
7183	return	N	2-2	on his return from Australia we gave him a welcoming party	the average return was about 5 %	F
7184	make	V	0-1	make a dress	To make like a deer caught in the headlights .	F
7185	order	N	4-5	it was on the order of a mile	an explosion of a low order of magnitude	T
7186	see	V	4-2	The minister does n't see anybody before noon	I must see your passport before you can enter the country	F
7187	side	N	5-5	he is on the purchasing side of the business	it brought out his better side	T
7188	line	N	4-4	he got out of line	there is a narrow line between sanity and insanity	F
7189	civilization	N	7-7	the people slowly progressed from barbarism to civilization	he is remembered for his generosity and civilization	F
7190	term	N	2-2	the general term of an algebraic equation of the n - th degree	the major term of a syllogism must occur twice	F
7191	time	N	3-3	See you another time ;    that 's three times he 's made the same mistake	he called four times	T
7192	demand	N	4-1	the automobile reduced the demand for buggywhips	his demands for attention were unceasing	F
7193	carry	V	1-2	I carry her image in my mind 's eye	His voice carried a lot of anger	F
7194	see	V	2-1	You should see a lawyer	he saw action in Viet Nam	F
7195	seize	V	1-2	To seize a ship after libeling	The terrorists seized the politicians	F
7196	air	N	1-5	an air of mystery	the house had a neglected air	T
7197	strike	V	0-2	strike coins	The workers struck for a week before the new contract went through .	F
7198	array	N	6-4	his tools were in an orderly array on the basement wall	it was a bewildering array of books	T
7199	run	V	3-6	let the dogs run free	My computer is too old to run the new OS .	F
7200	straighten	V	0-0	straighten hair	Straighten this post	T
7203	krona	N	1-4	Papīra krona — paper krona ( i.e. , bills , banknotes )	Piecas kronas — five krona	T
7204	home	N	7-0	he grew up in a good Christian home	home is where the heart is	T
7205	spray	V	0-0	spray water on someone	spray paint on the wall	T
7206	sum	N	4-1	he borrowed a large sum	The sum of forty pounds	T
7207	cut	V	1-1	We cut through the neighbor 's yard to get home sooner	Wayne cut	F
7208	foot	N	4-3	armored from head to foot	the swiftest of foot	F
7209	make	V	0-1	make advances	She makes more than he does , and works longer hours than he does , but she still does most of the house - cleaning .	F
7210	block	V	0-0	block a nerve	block a muscle	T
7211	slit	V	0-1	slit the throat of the victim	He slit the bag open and the rice began pouring out .	T
7212	carry	V	1-1	I carry a lot of life insurance	I carry her image in my mind 's eye	T
7213	lady	N	11-1	a chauffeur opened the door of the limousine for the grand lady	A lady doctor .	T
7214	draw	V	0-10	draw a card	At the start of their turn , each player must draw a card .	T
7216	fatigue	N	1-5	political fatigue	he was suffering from museum fatigue	T
7217	head	N	6-4	A reduction in the assessment per head of sheep	he was at the head of the column	F
7218	time	N	7-3	he was a great actor in his time	he had a time holding back the tears	F
7219	turn	V	0-0	turn your dance partner around	turn your face to the wall	T
7221	demand	V	1-2	I demand an explanation	This position demands a lot of personal sacrifice	F
7223	book	N	4-1	Genesis is the first book of the Bible .	the book of Isaiah	T
7224	personification	N	5-3	The Grim Reaper is a personification of death .	she is the personification of optimism	T
7225	language	N	12-3	the speed with which a program can be executed depends on the language in which it is written	The gift of language	T
7226	buy	V	5-1	I 'm not going to buy your stupid excuses anymore !	Carmen bought a dress for $ 50 .	F
7227	moon	N	5-5	men first stepped on the moon in 1969	the average distance to the Moon is 384,400 kilometers	T
7228	facility	N	5-5	he was famous for his facility as an archer	a cell phone with internet facility	F
7229	use	V	6-0	He does n't know how to use a computer	use your head !	T
7230	go	V	0-1	go about the world in a certain manner	She went through a lot of trouble	T
7231	run	V	6-4	If you see this man , run !	The crowd had to run away from the burning structure with only the clothes on their backs .	T
7232	sense	N	1-3	a sense of happiness	in the best sense charity is really a duty	F
7233	skin	N	1-7	your skin is the largest organ of your body	He is so disgusting he makes my skin crawl .	T
7234	process	N	3-1	events now in process	the process of thinking	F
7236	run	V	2-2	These dresses run small	The children ran to the store	F
7237	flare	N	5-3	infection can cause a lupus flare	he threw a flare to the fullback who was tackled for a loss	F
7238	vote	N	5-11	they are expecting a large vote	The Supreme Court upheld the principle of one person , one vote .	F
7239	patch	N	6-6	The world economy had a rough patch in the 1930s .	I lost my locket in this patch of grass here .	T
7241	execute	V	2-0	I 'll execute your orders as soon as this meeting is adjourned .	execute the decision of the people	T
7242	wharf	V	0-0	wharf the passengers	Wharf the mouth of the river	F
7244	presentation	N	3-8	he prepared his presentation carefully in advance	Cesarean sections are sometimes the result of abnormal presentations	F
7245	summer	V	3-1	We like to summer in the Mediterranean .	We summered in Kashmir	T
7246	head	N	4-3	he was at the head of the column	She gave great head .	F
7247	get	V	2-3	did you get it ?	What did you get at the toy store ?	F
