random	noun/verb	location	#1 String	#2 String
life	N	5-3	the battery had a short life	while there 's life there 's hope
make	V	2-2	We should make Cincinnati by 7 tonight .	She was made president of the club
work	V	2-2	Can you work an electric drill ?	This pilot works the controls
range	N	7-5	any good golf club will have a range where you can practice	the army maintains a missile range in the desert
memorability	N	6-1	continuous change results in lack of memorability	true memorability of phrase
fall	V	0-2	fall into a trap	The estate fell to the oldest daughter
beat	V	2-0	The drums beat all night	beat the table with his shoe
population	N	1-4	The population of New Jersey will not stand for this !	the African - American population of Salt Lake City has been increasing
give	V	0-3	give a yelp	The roof finally gave under the weight of the ice
excitement	N	5-5	he could hardly conceal his excitement when she agreed	his face was flushed with excitement and his hands trembled
trim	V	0-0	trim an airplane	trim the photograph
cut	V	2-0	The Vietnamese cut a lot of timber while they occupied Cambodia	cut class
connection	N	1-3	The connection between overeating and obesity	there was a connection between eating that pickle and having that nightmare
see	V	7-8	He is blind -- he can not see	You have to be a good observer to see all the details
opening	N	1-1	the opening received good critical reviews	the opening of his arms was the sign I was waiting for
fix	N	4-3	he got a good fix on the target	We have a fix on your position .
commission	N	3-3	A reseller 's commission	he works on commission
dress	V	3-1	Can the child dress by herself ?	Marlene dressed herself .
render	V	0-0	render up the prisoners	render the town to the enemy
weakness	N	8-1	In a small number of horses , muscle weakness may progress to paralysis .	the weakness of the span was overlooked until it collapsed
fall	V	0-1	fall into a trap	she fell to pieces after she lost her work
notice	N	2-1	an obituary notice	a notice of sale
run	V	3-2	The sale will run for ten days .	The film runs 5 hours
side	N	10-4	the hypotenuse of a right triangle is always the longest side	they painted all four sides of the house
time	N	4-9	We had a wonderful time at the party .	The judge leniently granted a sentence with no hard time .     He is not living at home because he is doing time .
top	N	4-2	put your books on top of the desk	only the top side of the box was painted
raise	V	0-0	raise the roof	raise hell
make	V	2-1	We should make Cincinnati by 7 tonight .	He made a fool of himself at the meeting
night	N	3-5	From noon till night	The cat disappeared into the night .
sense	N	1-3	Common sense is not so common	It 's common sense not to put metal objects in a microwave oven .
grip	N	11-1	it was an old briefcase but it still had a good grip	The grip of a sword
run	N	4-15	I 'm having a run of bad luck .	He went to Las Vegas and spent all his money over a three - day run .
head	N	10-2	Pour me a fresh beer ; this one has no head .	Tap the head of the drum for this roll .
stretch	V	2-0	Let 's stretch for a minute -- we've been sitting here for over 3 hours	Stretch your arms out above your head .
empathize	V	4-4	You really have to empathize with them .	You really have to empathize with their doing it .
conquer	V	0-0	conquer a country	conquer your fears
take	V	1-4	I take it you 're not going ?	Tomorrow the doctor will take the cast off her arm .
recognition	N	1-4	the recognition of the Rio Grande as a boundary between Mexico and the United States	The law was a recognition of their civil rights .
coverage	N	13-11	Before laying sod on that clay , the ground needs two inches of coverage with topsoil .	Do n't go to lunch if we do n't have enough coverage for the help - desk phones .
unit	N	6-2	the dollar is the United States unit of currency	change per unit volume
production	N	6-5	she tends to make a big production out of nothing	They hope to increase spaghetti production next year .
stage	N	2-5	at what stage are the social sciences ?	The band returned to the stage to play an encore .
stay	V	0-0	stay alone	Stay put in the corner here !
come	V	0-0	come out of the closet !	Come with me to the Casbah
keep	V	0-0	keep your cool	Keep your temper
shell	V	0-0	shell the legumes	shell mussels
space	N	8-5	they tested his ability to locate objects in space	write your name in the space provided
mercury	N	1-1	The mercury there has averaged 37.6C , 2.3C above the February norm .	the mercury was falling rapidly
calendar	N	5-5	I have you on my calendar for next Monday	The club has a busy calendar this year .
direction	N	2-2	is the direction of the economy a function of government ?	he gave directions faster than she could follow them
breath	N	3-4	The child 's breath came quickly and unevenly .	I could hear the breath of the runner behind me .
component	N	1-1	a component or constituent element of a system	spare components for cars
call	N	12-4	he heard the phone ringing but did n't want to take the call	he placed a phone call to London
see	V	3-2	I ca n't see him on horseback !	I can see a risk in this strategy
number	N	1-10	the number of parameters is small	in English the subject and the verb must agree in number
give	V	0-3	give thought to	The roof finally gave under the weight of the ice
take	V	1-1	I take aspirin every day to thin my blood .	She took the job as director of development
throw	V	0-1	throw a frisbee	Jane threw dinner together
pass	N	3-11	he had a pass for three days	it was not possible to complete the computation in a single pass
land	V	2-5	this may land you in jail	It can be tricky to land a helicopter .
setting	N	8-2	you ca n't do that in a university setting	the perfect setting for a ghost story
area	N	8-7	The photo is a little dark in that area .	it was about 500 square feet in area
person	N	6-1	there was too much for one person to do	Each person is unique , both mentally and physically .
choice	N	1-7	your choice of colors was unfortunate	The ice cream sundae is a popular choice for dessert .
see	V	8-1	You have to be a good observer to see all the details	I saw him laughing .
field	N	6-8	He needs some time in the field before his judgment can be trusted .	This racehorse is the strongest in a weak field .
window	N	1-2	Launch window ; window of opportunity	the expanded window will give us time to catch the thieves
follow	V	0-2	follow the road	Let 's follow our great helmsman !
cut	V	1-2	She cut the deck for a long time	If you cut then I 'll deal .
wall	N	1-1	a wall of prejudice	a wall of water
take	V	2-11	Do you take me for a fool ?	Looking at him as he came into the room , I took him for his father .
stretch	N	8-2	I was right in the middle of a stretch when the phone rang .	there were stretches of boredom
area	N	4-4	it was a mountainous area	it was a closed area of employment
come	V	1-0	Melons come from a vine	Come with me to the Casbah
cut	V	0-1	cut a nice figure	soap cuts grease
see	V	2-4	I 'll see you to the door	What message do you see in this letter ?
run	V	3-2	The sale will run for ten days .	The book runs 655 pages .
take	V	0-2	take the gun from your pocket	She always takes an umbrella
complexion	N	2-3	A rugged complexion ;    a sunburnt complexion	a liberal political complexion
catch	V	3-2	I have to catch a train at 7 o'clock	do n't catch your meaning
day	N	2-2	in the day of the dinosaurs	in the days of sailing ships
drop	N	4-2	there is not a drop of pity in that man	Put three drops of oil into the mixture .
congregation	N	1-2	a congregation of children pleaded for his autograph	a great congregation of birds flew over
fall	V	0-2	fall asleep	Many soldiers fell at Verdun
left	N	2-3	The political left is not holding enough power .	jab with your left
see	V	4-6	I just ca n't see your point	Did you know that she is seeing an older man ?
carry	V	0-2	carry scars	His efforts carried the entire project
scrub	V	3-3	we had to scrub our vacation plans	Engineers had to scrub the satellite launch due to bad weather .
check	V	0-8	check the brakes	Katie 's sick , so I need to check up on her and see if she needs anything .
begin	V	4-2	You can not even begin to understand the problem we had to deal with during the war	The semester begins with a convocation ceremony
fall	V	1-1	payments fall on the 1st of the month	Grief fell from our hearts
judge	V	1-1	The judge tried both father and son in separate trials	The judge pronounced often before , but never so widely press - attended .
effect	N	5-6	the law is still in effect	The new law will come into effect on the first day of next year .
condition	N	2-2	a heart condition	a skin condition
language	N	3-12	The gift of language	the speed with which a program can be executed depends on the language in which it is written
purchase	V	1-5	To purchase land , to purchase a house	$ 50 wo n't even purchase a dress .
shift	V	0-0	shift the date for our class reunion	Shift one 's position
wall	N	1-5	a wall of smoke	negotiations ran into a brick wall
make	V	0-0	make a wall of stones	make a cake
danger	N	4-3	you are in no danger	there was widespread danger of disease
voice	N	3-2	the wee small voice of conscience	the incessant voices of the artillery
cut	V	0-2	cut a caper	his opponent cut upward toward his chin
wear	V	0-2	wear one 's hair in a certain way	He always wears a smile
wildness	N	3-7	the element of wildness in his behavior was a protest against repressive convention	Liza had always had a tendency to wildness
face	N	4-4	They climbed the north face of the mountain .	dew dripped from the face of the leaf
play	V	0-0	play it safe	play safe
cut	V	4-0	The employer wants to cut back health benefits	Cut the engines when the plane comes to a halt !
orbit	N	5-3	he 's out of my orbit	in the political orbit of a world power
cut	V	2-3	The car cut to the left at the intersection	The football player cut to his left to evade a tackle .
session	N	2-2	a gossip session	a filming session
crunch	N	2-7	a financial crunch	an end - of - the year crunch
break	V	0-1	break a lucky streak	who broke into my account last night ?
life	N	5-1	the oceans are teeming with life	social life
make	V	3-2	This invention will make you a millionaire	Do n't make this into a big deal
take	V	0-1	take an opportunity	We took our seats in the orchestra
carry	V	2-0	You must carry your camping gear	carry the suitcases to the car
make	V	1-3	They make a cute couple	She may not make the grade
feeling	N	5-3	The house gave me a feeling of dread .	he had terrible feelings of guilt
head	N	3-9	he stuck his head out the window	Be careful when you pet that dog on the head ; it may bite .
make	V	0-1	make a move	They make a cute couple
double	N	8-3	his first job in Hollywood was as a double for Clark Gable	he hit a double to deep centerfield
make	V	1-1	Clothes make the man	They make a cute couple
bid	N	1-1	A bid for a lucrative transport contract	His bid was $ 35,000 .
swing	V	0-2	swing a bat	his mood swings
run	V	3-2	The sale will run for ten days .	The meeting ran late .
strike	V	0-0	strike a bargain	strike fire from the flintstone
narrowness	N	7-8	the problem with achievement tests is the narrowness they impose on students	the attraction of the book is precisely its narrowness of focus
hold	V	0-2	hold these truths to be self - evident	I 'll hold you by your promise
breakfast	V	1-1	We breakfast at seven	Cynthia breakfasted on peaches .
connect	V	2-4	Can you connect the two loudspeakers ?	The new railroad will connect the northern part of the state to the southern part .
take	V	1-5	I take it you 're not going ?	I estimate the trip will take about ten minutes .
language	N	4-2	he recorded the spoken language of the streets	The English language ;    sign language
head	N	1-6	200 head of cattle	A reduction in the assessment per head of sheep
keep	V	9-3	Our grant has run out and we can not keep you on	The student was kept after school
beat	V	2-0	The drums beat all night	Beat the rhythm
hit	V	2-2	The ball hit the fence .	The movie hits theaters in December .
motion	N	3-3	police controlled the motion of the crowd	he made a motion to adjourn
make	V	0-2	make a cake	He will make a fine father
work	V	4-2	How does your idea work in practice ?	His fingers worked with tension
gather	V	1-1	I gather from Aunty May that you had a good day at the match .	I gather you have not done your homework
touch	N	2-3	the cooling touch of the night air	there was a touch of sarcasm in his tone
rest	N	5-4	The ocean was finally at rest .	The boulder came to rest just behind the house after rolling down the mountain .
appointment	N	11-4	I 'm leaving work early because I have a doctor 's appointment .	He erred by the appointment of unsuitable men .
summerize	V	0-0	summerize a house	summerize your car
foulness	N	3-3	he understood the foulness of sin	his display of foulness deserved severe punishment
make	V	0-2	make a mess in one 's office	She 'll make a fine president .
hold	V	1-2	To hold true ;    to hold good	He 's held by a contract
answer	V	4-1	A few words would answer	She answered the door .
work	N	7-11	a lot of people are out of work	He has n't come home yet , he 's still at work .
rate	N	5-1	he works at a great rate	The rate of production at the factory is skyrocketing .
text	N	8-5	there were more than a thousand words of text	they handed out the printed text of the mayor 's speech
control	N	3-1	measures for the control of disease	the control condition was inappropriate for the conclusions he wished to draw
face	N	3-9	Why the sad face ?	I wish I had seen the look on his face when he got the news
title	N	11-3	the professor did n't like his friends to use his formal title	he held the title for two years
nationality	N	4-6	immigrants of the same nationality often seek each other out	such images define their sense of nationality
field	N	8-0	anthropologists do much of their work in the field	Field work traditionally distinguishes true archaeologists from armchair archaeologists .
carry	V	0-1	carry the suitcases to the car	Amanda carried the package to New York .
check	V	4-1	These stories do n't check !	She checked for an instant and missed a step
stuff	N	5-5	you do n't have the stuff to be a United States Marine	the trunk was full of stuff
thrust	V	1-11	She thrust the letter into his hand	The front of the trains that had collided head - on thrust up into the air
dogma	N	2-5	The unforgiving dogma of Stalinism is that what the party leader , however cruel and incompetent , decrees , however absurd , must be accepted as law .	he believed all the Marxist dogma
define	V	3-4	The camera could define the smallest object	The tree was clearly defined by the light
open	V	2-0	Vermont will open elk hunting season next week .	open a business
reason	N	1-2	the reason that war was declared	there is reason to believe he is lying
take	V	0-2	take vengeance	Do you take sugar in your coffee ?
spread	V	3-1	The missionaries quickly spread their new message across the country .	He spread fertilizer over the lawn
spring	N	6-3	he will hold office until the spring of next year	I spent my spring holidays in Morocco .
go	V	6-4	Do you think the sofa will go through the door ?     The belt just barely went around his waist .	The speech has to go through several more drafts
space	N	5-3	it all happened in the space of 10 minutes	the architect left space in front of the building
fatigue	N	5-6	he was suffering from museum fatigue	the American public is experiencing scandal fatigue
throw	V	6-2	Throw a shoe ;     throw a javelin ;     the horse threw its rider	have , throw , or make a party
reduce	V	0-0	reduce an image	reduce one 's standard of living
cut	V	2-0	The coach cut two players from the team	cut the engine
carry	V	0-1	carry too far	We carry a very large mortgage
time	N	12-3	Time stops for nobody .     the ebb and flow of time	he called four times
tell	V	1-1	I tell you that man is a crook !	Please tell me how to do it .
marriage	N	4-3	a long and happy marriage	You should enter marriage for love .
fall	V	0-0	fall prey to an imposter	Fall in love
line	N	1-2	the line stretched clear around the corner	A dedicated line
melt	V	13-0	When the weather is warm , the snowman will disappear ; he will melt .	melt butter
direction	N	3-5	he checked the direction and velocity of the wind	Keep going in the same direction .
charge	V	0-2	charge a conductor	The speaker charged up the crowd with his inflammatory remarks
tell	V	2-2	Can you tell whether those flowers are real or silk , from this distance ?     No , there 's no way to tell .	He could tell that she was unhappy
click	V	2-0	Xhosa speakers click	Click ! The door opened .
take	V	3-3	I do n't take sugar in my coffee	The test grader takes off a point for every misspelled word .
estimate	N	1-6	an estimate of what it would cost	many factors are involved in any estimate of human life
pledge	N	4-2	his saxophone was in pledge	signed a pledge never to reveal the secret
notice	N	2-6	an obituary notice	you did n't give me enough notice
quality	N	1-11	the quality of students has risen	This school is well - known for having teachers of high quality .
see	V	2-3	I can see what will happen	I ca n't see him on horseback !
implement	V	0-14	implement a procedure	It 's a good thought , but it will be a difficult thing to implement .
breath	N	4-6	he took a deep breath and dived into the pool	he was fighting to his last breath
run	V	0-2	run through your presentation before the meeting	The children ran to the store
third	N	13-2	he answered the first question willingly , the second reluctantly , and the third with resentment	a distant third
save	V	2-2	Let 's save the packaging in case we need to send the product back .	This will save money
dick	N	6-6	Sorry , girls , I suck dick .	He wore a condom over his dick .
pack	V	1-0	To pack goods in a box ;    to pack fish	pack the books into the boxes
go	V	4-5	Where do these books go ?	It 's your turn ; go .
capture	V	0-1	capture the essence of Spring	She captured all the men 's hearts
turn	V	0-0	turn the legs of the table	turn a somersault
break	V	2-2	Can you break a hundred - dollar bill for me ?	The surf broke
air	V	15-1	It 's getting quite stuffy in this room : let 's open the windows and air it .	She aired her opinions on welfare
summit	N	10-9	In summer , it is possible to hike to the summit of Mt. Shasta .	the region is a few molecules wide at the summit
poison	N	1-4	the poison of fascism	Gossip is a malicious poison .
conflict	N	1-3	The conflict between the government and the rebels began three years ago .	the harder the conflict the more glorious the triumph "-- Thomas Paine
come	V	1-1	Melons come from a vine	News came in of the massacre in Rwanda
change	N	3-5	she brought a change in her overnight bag	The product is undergoing a change in order to improve it .
burn	V	0-2	burn garbage	The car burns only Diesel oil
house	N	3-9	he has a house on Cape Cod	she felt she had to get out of the house
line	N	5-2	I ca n't follow your line of reasoning	toe the line
circulation	N	4-1	a fan aids air circulation	ocean circulation is an important part of global climate
rest	N	14-10	Now that we 're all in agreement , we can put that issue to rest .	people actually accomplish more when they take time for short rests
know	V	1-3	I know the feeling !	have you ever known hunger ?
head	N	5-2	his horse won by a head	under the head of minor Roman poets
seat	N	1-1	The seat of these trousers is almost worn through .	the seat of his pants was worn through
love	N	3-5	it was 40 love	So that 's fifteen - love to Kournikova .
land	V	4-5	Use the net to land the fish .	It can be tricky to land a helicopter .
front	N	4-5	he walked to the front of the stage	he led the national liberation front
carry	V	0-1	carry the suitcases to the car	Amanda carried the package .
charge	N	5-1	he was arrested on a charge of larceny	the charges against the estate
third	N	13-3	he answered the first question willingly , the second reluctantly , and the third with resentment	Jones came in third .
traffic	N	0-1	traffic on the internet is lightest during the night	heavy traffic overloaded the trunk lines
air	N	0-6	air pollution	a smell of chemicals in the air
work	V	4-3	She knows how to work the system .	The soft metal works well
care	V	3-3	I do n't care what he does .	He does n't care about how / whether she comes .
play	V	0-5	play fair	Play football ;    play sports ;    play games
break	V	0-2	break into tears	The blade broke her skin
foot	N	6-1	I 'll meet you at the foot of the stairs .	the foot of the page
opening	N	1-7	the opening received good critical reviews	John spends two hours a day studying openings , and another two hours studying endgames .
clap	N	12-8	If your dick has " the drip " you probably have the clap and need to go to the sex clinic .	Off in the distance , he heard the clap of thunder .
cut	V	5-0	Cut orders ;    cut a check	cut a ticket
head	N	9-3	Be careful when you pet that dog on the head ; it may bite .	he stuck his head out the window
resistance	N	6-8	he encountered a general feeling of resistance from many citizens	these trees are widely planted because of their resistance to salt and smog
run	V	2-4	I will run the sample .	Our coach had us running plays for the whole practice .
point	N	4-6	she walked to a point where she could survey the whole street	he held me up at the point of a gun
furniture	N	3-4	A chair is furniture . Sofas are also furniture .	they had too much furniture for the small apartment
voice	N	1-2	the voice of the law	the noisy voice of the waterfall
backup	N	12-3	After the power failure , we had to restore the database from backup .	he made a backup in case the original was accidentally damaged or erased
law	N	1-5	By law , one is not allowed to own a wallaby in New York City .	civilization presupposes respect for the law
classify	V	2-1	Should we classify " make up " as an idiom or as a phrasal verb ?	She classified the articles into different genres .
break	N	1-3	the break seems to have been caused by a fall	there was a break in the action when a player was hurt
strike	V	4-2	the opponent refused to strike	The boxer struck the attacker dead
have	V	0-1	have a lover	We had a hard year last year , with the locust swarms and all that .
strength	N	3-6	He had the strength of ten men .	they measured the station 's signal strength
close	V	7-2	The owners decided to move and to close the factory	My business closes every night at 8 P.M.
wave	V	5-1	she asked the hairdresser to wave her hair	She waved her gun
pocket	N	5-8	the trapped miners found a pocket of air	the battle was won except for cleaning up pockets of resistance
company	N	7-5	Keep the house clean ; I have company coming .	the house was filled with company when I arrived
statement	N	4-4	a Cadillac makes a statement about who you are	his tantrums are a statement of his need for attention
shoot	V	0-7	shoot a goal	In my round of golf yesterday I shot a 76 .
post	N	2-3	Sent via post ; parcel post	he occupied a post in the treasury
drive	V	0-1	drive the forest	We drove to the university every morning
give	V	0-3	give priority to	The French doors give onto a terrace
stock	N	4-1	they will cut round stock to 1-inch diameter	his stock was so high he could have been elected mayor
unravel	V	2-3	can you unravel the mystery ?	Mother could n't unravel the ball of wool after the cat had played with it .
optimization	N	3-2	to promote the optimization and diversification of agricultural products	the simultaneous optimization of growth and profitability
remember	V	0-1	remember me in your prayers	He remembered her in his will
deal	N	6-5	I did n't have a good deal all evening .	I believe it 's your deal .
use	V	6-3	He does n't know how to use a computer	I ca n't use this tool
extension	N	1-0	good extension comes from a combination of training and native ability	extension of the program to all in need
mean	V	1-1	I mean no harm	Happiness means everything
stiff	N	2-2	a working stiff	a lucky stiff
carry	V	4-1	I resent having to carry her all the time	We carry a very large mortgage
day	N	7-2	he was a successful pianist in his day	in the days of the Roman Empire
look	N	6-4	he went out to have a look	his camera does his looking for him
play	V	3-0	Charlie likes to play Mary	play water from a hose
make	V	0-1	make enemies	She made 29 points that day
raise	V	0-0	raise the price of bread	raise your ` o '
catch	V	2-2	did you catch a cold ?	If he catches you on the chin , you 'll be on the mat .
draw	V	1-1	I draw a line here	He drew great benefits from his membership in the association
expression	N	1-17	Her expression changed from joy to misery after realising her winning lottery ticket had expired .	The best poker players can tell if the opponents have a good hand by looking at their expression .
bolt	V	2-6	Do n't bolt your food !	Seeing the snake , the horse bolted .
move	V	1-2	To move in a matter	The soldiers moved towards the city in an attempt to take it before night fell
make	V	2-7	He will make a splendid father !	It was n't the problem some people made it
cover	V	0-0	cover the grave with flowers	cover the child with a blanket
view	N	6-7	he tried to get a better view of it	He changed seat to get a complete view of the stage .
pay	V	0-1	pay a visit	He paid off the loan three months early .
draw	V	7-0	A ship 's sail is said to draw when it is filled with wind .	draw a wagon
chain	N	1-6	A chain of mountains	The third link of the silver chain needs to be resoldered .
degree	N	3-3	he earned his degree at Princeton summa cum laude	there are 360 degrees in a circle
action	N	2-2	recent federal action undermined the segregationist position	the Union action of emancipating Southern slaves
beat	V	0-2	beat one 's breast	This sure beats work !
number	N	1-3	the number of parameters is small	he had a number of chores to do
hold	V	0-3	hold all calls to the President 's office while he is in a meeting	Elections will be held on the first Sunday of next month .
work	V	4-2	She knows how to work the system	The wine worked
fall	V	0-2	fall prey to an imposter	Her hair fell across her forehead
scale	N	1-6	the scale of the map	There are some who question the scale of our ambitions .
boy	N	3-4	she made the boy brush his teeth every night	the baby was a boy
write	V	1-4	Please write to me every week	Your son has been writing on the wall .
talk	N	3-4	there has been talk about you lately	I attended an interesting talk on local history
land	N	5-11	They come from a faraway land .	the plane turned away from the sea and moved back over land
lifesaving	N	7-5	I 'm normally a big fan of lifesaving , but in his case we can make an exception .	he took a course in lifesaving
make	V	0-0	make the bed	make up a room
deal	N	1-9	a deal of trouble	he rose to prominence through a series of shady deals
make	V	3-0	She may not make the grade	make clay into bricks
run	V	0-3	run through your presentation before the meeting	The sale will run for ten days .
cup	N	7-3	he swore as the ball rimmed the cup and rolled away	he drank a cup of coffee
light	N	8-10	I 'm really seeing you in a different light today .	Magoon 's governorship in Cuba was viewed in a negative light by many Cuban historians for years thereafter .
point	N	4-5	To fall off a point	The one with the most points will win the game
appearance	N	4-5	A person makes his appearance as an historian , an artist , or an orator .	it was Bernhardt 's last appearance in America
miracle	N	4-6	An example of a miracle associated with Muhammad is the splitting of the moon .	Many religious beliefs are based on miracles .
work	V	0-5	work your way through every problem or task	Start from the bottom and work towards the top
work	V	4-2	She knows how to work the system	This pilot works the controls
be	V	4-2	When will the meeting be ?	I have been to Spain many times .
line	N	4-4	the cast stood in line for the curtain call	they were arrayed in line of battle
gather	V	1-1	I gather you have not done your homework	I gather from Aunty May that you had a good day at the match .
grace	N	5-3	it was debated whether saving grace could be obtained outside the membership of the church	the victor 's grace in treating the vanquished
stand	V	3-1	We had to stand for the entire performance !	There stood on the corner a statue .
didacticism	N	1-1	the didacticism expected in books for the young	the didacticism of the 19th century gave birth to many great museums
enemy	N	1-5	the enemy attacked at dawn	Rally together against a common enemy .
bear	V	0-0	bear a heavy load	bear a resemblance
neighborhood	N	4-1	it is a friendly neighborhood	my neighborhood voted for Bush
tab	N	2-4	pull the tab to open the can	the collar has a tab with a button hole
treat	V	4-1	She was tempted to treat the whole affair as a joke .	I treated his advances as a joke
take	V	3-3	You ca n't take credit for this !	How should I take this message ?
draw	V	0-4	draw a weapon	The President 's comments drew sharp criticism from the Republicans
cost	N	2-1	The average cost of a new house is twice as much as t was 20 years ago .	the cost in human life was enormous
cut	V	0-1	cut a Ping - Pong ball	soap cuts grease
touch	N	5-9	this piano has a wonderful touch	Suddenly , in the crowd , I felt a touch at my shoulder .
make	V	0-0	make water into wine	make clay into bricks
act	V	3-3	think before you act	The governor should act on the new energy bill
difference	N	5-6	his support made a real difference	It just wo n't make much difference to me .
travel	N	1-7	Space travel	he enjoyed selling but he hated the travel
head	N	6-6	This song keeps going through my head .	the office was full of secret heads
drill	V	2-0	do n't drill here , there 's a gas pipe	drill for oil
movement	N	7-2	he was a charter member of the movement	The labor movement has been struggling in America since the passage of the Taft - Hartley act in 1947 .
osculate	V	3-2	these two surfaces osculate	one curve osculates the other
fire	N	5-0	put the kettle on the fire	fire was one of our ancestors ' first discoveries
credit	N	3-3	I give you credit for owning up to your mistake .	he was given credit for his work
raise	V	0-0	raise my salary	raise a sad cry
confidence	N	0-6	confidence is always borrowed , never owned	after that failure he lost his confidence
pass	N	2-4	A mountain pass	we got through the pass before it started to snow
business	N	3-5	a racially integrated business concern	he bought his brother 's business
field	N	3-7	he planted a field of wheat	There were some cows grazing in a field .
translate	V	2-5	Can you translate the instructions in this manual for a layman ?	Is there a need to translate the psychiatrist 's remarks ?
fiddle	V	2-7	The reporter fiddle with the facts	We found out that she had been fiddling for years
get	V	2-3	Let 's get down to work now	She did n't get the joke
appointment	N	4-1	He erred by the appointment of unsuitable men .	the appointment had to be approved by the whole committee
work	V	2-0	Can you work an electric drill ?	Work the metal into a sword
snap	N	5-4	he gave his fingers a snap	servants appeared at the snap of his fingers
raise	V	0-0	raise an army	raise your ` o '
work	V	4-7	He used pliers to work the wire into shape .	this unpleasant situation is n't going to work itself out
give	V	0-1	give a yelp	I gave him a punch in the nose
carry	V	2-2	These pipes carry waste water into the river	This paper carries a restaurant review
grate	V	0-1	grate one 's teeth in anger	To grate a window
work	V	3-0	He could not work the math problem	work one 's way through the crowd
draw	V	0-2	draw a weapon	A ship draws ten feet of water .
flatten	V	0-14	flatten your stomach with these exercises	As there was a lot of damage , we chose the heavy roller to flatten the pitch .
lead	N	3-5	he takes the lead in any group	they did n't follow our lead
certainty	N	4-1	his victory is a certainty	his certainty reassured the others
turn	V	4-18	the strong man could turn an iron bar	The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .
be	V	2-2	I shall be writing to you soon .	This building is three hundred years old .
number	N	4-3	he has an unlisted number	he had a number of chores to do
sanitize	V	0-0	sanitize the language in a book	sanitize a document before releasing it to the press
humor	N	5-11	she did n't appreciate my humor	you ca n't survive in the army without a sense of humor
one	N	3-6	this is the one I ordered	" driver " , noun : one who drives .
bank	N	3-2	he operated a bank of switches	a huge bank of earth
light	N	4-7	he stepped into the light	they played as long as it was light
form	N	4-7	the team was off form last night	he was at the top of his form
building	N	6-6	there was a three - story building on the corner	My sister lives in that apartment building .
train	N	4-3	they joined the wagon train for safety	the bride 's train was carried by her two young nephews
keep	V	2-0	Can I keep my old stuffed animals ?	Keep smiling
make	V	0-0	make a stir	make laws
break	V	0-0	break an alibi	break a lucky streak
turn	V	0-0	turn the dial to 10	turn your dance partner around
luck	N	1-2	the luck of the Irish	they say luck is a lady
life	N	6-9	She 's my love , my life .	he could no longer cope with the complexities of life
step	V	3-0	he wo n't step into his father 's footsteps	step over to the blackboard
shot	N	3-6	he wanted a shot at the champion	I caught him with a solid shot to the chin
catch	V	2-1	Did you catch the thief ?	he caught her staring out the window
air	N	7-7	open a window and let in some air	as he waited he could feel the air on his neck
hang	V	0-0	hang a door	hang the venison for a few days
grain	N	1-1	A grain of sand	A grain of salt
save	V	2-2	This will save you a lot of time	I 'll save you the trouble
head	N	5-7	tickets are $ 5 per head	We will consider performance issues under the head of future improvements .
pull	V	0-1	pull weeds	He pulled out his gun before she had a chance to scream .
block	V	5-0	The offensive linemen tried to block the blitz .	block an attack
make	V	3-0	What do you make of his remarks ?	make an estimate
drop	V	0-2	drop him from the Republican ticket	Stock prices dropped
travel	N	7-0	he enjoyed selling but he hated the travel	Travel to Spain
believe	V	4-1	Why did I ever believe you ?	She believes in spirits
place	N	3-1	he lost his place on the page	Grosvenor Place
fall	V	4-2	The hills around here fall towards the ocean	her weight fell to under a hundred pounds
raise	V	0-0	raise the question of promotions	raise the price of bread
hand	N	3-3	give me a hand with the chores	on the one hand ... , but on the other hand ...
go	V	2-2	We should go farther in this matter	His money went on drink .
carry	V	9-2	She always carries a purse ;    marsupials carry their young in a pouch	The motion carried easily
head	N	2-1	Tap the head of the drum for this roll .	a head of steam
make	V	3-0	She may not make the grade	make water into wine
receptiveness	N	1-6	this receptiveness is the key feature in oestral behavior , enabling natural mating to occur	he was testing the government 's receptiveness to reform
hold	V	0-1	hold in place	I hold with those who say life is sacred
view	V	0-0	view a show on television	view an exhibition
leave	N	4-3	a ten day 's leave to visit his mother	Might I beg leave to accompany you ?
turn	V	0-1	turn the corner	We turned from Socialism to Capitalism
bake	V	0-1	bake the potatoes	Potatoes bake to a crisp .
texture	N	6-4	fish with a delicate flavor and texture	breadfruit has the same texture as bread
school	N	5-7	Our children attend a public school in our neighborhood .	Harvard University is a famous American postsecondary school .
unit	N	6-4	the dollar is the United States unit of currency	The centimetre is a unit of length .
personification	N	3-5	she is the personification of optimism	The Grim Reaper is a personification of death .
interest	N	4-3	Victorian furniture is an interest of mine .	in the common interest
head	N	6-1	A reduction in the assessment per head of sheep	200 head of cattle and 50 head of horses
mouth	N	4-5	he rode into the mouth of the canyon	she wiped lipstick from her mouth
play	N	3-6	they gave full play to the artist 's talent	We saw a two - act play in the theatre .
carry	V	1-1	To carry well , i.e. to hold the head high , with arching neck	He carried himself upright
take	V	2-0	Do you take sugar in your coffee ?	Take a cookie !
substantiate	V	5-2	The president 's trip will substantiate good relations with the former enemy country	The painting substantiates the feelings of the artist
cut	V	6-0	The glass from the shattered windshield cut into her forehead	cut class
slot	N	7-6	the TV program has a new time slot	he put a quarter in the slot
represent	V	3-2	Ms. Smith will represent the defendant	our parents represented to us the need for more caution
work	V	4-5	This dough does not work easily ;    the soft metal works well	Start from the bottom and work towards the top
